Protein name,Uniprot ID,NCBI Gene ID,Function,Small-scale evidence,Number of interactions
mask,Q9VCA8,50070,target gene,No,40
RpS14a,C0HKA0,47218;47219,target gene,No,52
-,Q95S19,-,target gene,No,66
aPKC,A1Z9X0,47594,target gene,No,41
Bet5,Q9VA95,43590,target gene,No,24
-,Q960W6,36857,target gene,No,48
-,E5KYS9,-,target gene,No,29
CG33484-RA,Q3KN34,-,target gene,No,23
bai,Q8SXY6,42996,target gene,No,26
hig,Q09101,35949,target gene,No,11
CG31626-RB,G2J647,-,target gene,No,53
Dmel\CG11629,Q9V9P9,35431,target gene,No,7
fas,O61674,-,target gene,No,41
nrv2,Q24048,33953,target gene,No,61
-,Q8MZ34,-,target gene,No,26
Son,Q9VHB0,41159,target gene,No,40
MAP1A,Q9VC48,42943,target gene,No,38
EG:BACR7A4.12,Q8SYN0,31050,target gene,No,31
-,B4YW73,-,target gene,No,34
CG7323,B7Z086,40205,target gene,No,32
Dmel\CG30069,A1Z9M5,36573,target gene,No,21
CG15187,Q95U01,-,target gene,No,48
msps,Q9VEZ3,41952,target gene,No,35
DNApol-epsilon58,Q9VRQ7,38661,target gene,No,21
-,A5HBQ4,-,target gene,No,16
FRG1,Q9VWA8,40228,target gene,No,27
Gbp1,A1ZAQ9,36936,target gene,No,10
l(1)G0289,Q9W2V9,31964,target gene,No,36
Rlip,Q9VDG2,42484,target gene,No,38
Fancm,Q9VDA0,42543,target gene,No,43
CG14903,Q4V688,-,target gene,No,48
-,Q5BII6,-,target gene,No,1
chm,Q9VM15,43928,target gene,No,32
-,Q5U1C3,-,target gene,No,24
Nhe3,Q8IPJ4,33939,target gene,No,45
Mmp2,Q8MPP3,35997,target gene,No,30
Smg5,Q9V414,34804,target gene,No,45
B4,Q9VJX3,34767,target gene,No,62
qkr58E-3,O44434,37559,target gene,No,21
Pif1,Q9VQR3,33567,target gene,No,34
comm2,Q9VUT8,39716,target gene,No,31
Dmel\CG43116,Q6IJ85,12798270,target gene,No,16
dsd,Q9VB20,43315,target gene,No,32
Ilp5,Q7KUD5,2768992,target gene,No,20
Dmel\CG11178,Q9VYB2,32315,target gene,No,25
-,A1A6W2,-,target gene,No,33
-,Q960T3,-,target gene,No,19
cdc16-RA,C9QP02,-,target gene,No,23
CG5707-RA,D5SHT6,48422,target gene,No,24
NTH1,Q9VIH0,35365,target gene,No,17
fz,P18537,45307,target gene,No,54
Dmel\CG31522,Q9VN29,40567,target gene,No,52
disp,Q9VNJ5,44274,target gene,No,11
-,Q9VN95,40630,target gene,No,30
eIF4G2,Q9VCH1,42819,target gene,No,57
Su(var)3-9,P45975,41483,target gene,No,44
CG32416,Q8IQ54,318020,target gene,No,10
GM130,Q9W289,37524,target gene,No,24
dind,E2QCZ3,42243,target gene,No,16
dTti1,Q9VH80,41189,target gene,No,20
Naxe,Q9W2Y3,31944,target gene,No,55
Mal-A5,Q5U124,35828,target gene,No,17
Fcp1,Q9W147,37925,target gene,No,8
Dmel\CG8726,A1Z782,35758,target gene,No,22
tal-2A,C0HJX5,7354376;7354381,target gene,No,25
-,Q9VK68,34675,target gene,No,30
dati,Q7KQN5,43789,target gene,No,29
Dmel\CG5758,Q0E8P5,35083,target gene,No,25
Dmel\CG5348,A1ZAJ4,36877,target gene,No,6
Dmel\CG34126,Q8IPL3,318872,target gene,No,73
BcDNA:GH08880,Q4V664,37371,target gene,No,3
Der-2,Q9VEU2,42005,target gene,No,20
Dyb-RC,E8NH80,-,target gene,No,38
crok,Q9VKA0,34646,target gene,No,31
porin,Q94920,34500,target gene,No,40
Dmel\CG6282,M9PET5,38985,target gene,No,39
CG5086,M9PGP7,31430,target gene,No,67
Ets21C,P29776,33229,target gene,No,32
Cdk4,Q7K306,36854,target gene,No,40
CG31653,M9PC10,318872,target gene,No,73
Set2,Q9VYD1,32301,target gene,No,62
-,Q8IQ13,319046,target gene,No,41
ND-B22,Q9VJZ4,34747,target gene,No,31
CG8038-RA,C4XVM6,-,target gene,No,48
Cadps,Q9NHE5,49968,target gene,No,88
sky,Q9VIH7,35359,target gene,No,52
unc-119,Q9XYQ2,31664,target gene,No,42
casp,Q7JUP3,36769,target gene,No,12
-,C5I7C1,-,target gene,No,43
CG9917-RA,Q95SC0,-,target gene,No,30
-,Q8T0N9,-,target gene,No,23
Dmel\CG12321,Q9VEC2,42174,target gene,No,22
Rpn3,P25161,35176,target gene,No,15
-,Q6ILI6,-,target gene,No,15
Chd64,Q9VZI1,38490,target gene,No,30
CG11023-RA,C3KGM2,-,target gene,No,5
Dmel\CG11537,Q6NLL3,38373,target gene,No,25
Dmel\CG3632,Q7YU03,32589,target gene,No,35
Dmel\CG6023,Q7KUV8,32814,target gene,No,44
Rhau,Q8SWT2,35339,target gene,No,35
btn-RA,Q0IGT7,-,target gene,No,26
CG13088-RA,H5V8C8,-,target gene,No,31
Dmel\CG9925,Q9VFP5,41702,target gene,No,26
Dmel\CG4287,Q9VF06,41939,target gene,No,10
dgo,Q7JUF2,36139,target gene,No,39
gcl,Q01820,35864,target gene,No,26
CheA56a,A1ZBB5,3772206,target gene,No,50
TfIIFbeta,P41900,41290,target gene,No,18
Nc73EF,A8JNU6,39899,target gene,No,59
Dmel\CG17786,Q9VCB5,42879,target gene,No,20
-,B3DMT7,-,target gene,No,2
Dmel\CG15046,Q9VWU0,32833,target gene,No,7
Actn,P18091,31166,target gene,No,36
-,Q4QQ63,-,target gene,No,12
CG6891-RA,B5RJ68,-,target gene,No,45
Sep4,Q0KHR7,32646,target gene,No,49
TppII,Q9V6K1,36444,target gene,No,34
Dmel\CG34250,X2JB67,5740115,target gene,No,28
Dmel\CG5567,Q9VVL5,39986,target gene,No,15
fry,Q9VT28,39122,target gene,No,41
pre-mod(mdg4)-T,A0A0B4JDE0,10178861,target gene,No,25
Ugt49B2,Q9VDA5,42538,target gene,No,2
-,A9YGE8,-,target gene,No,28
Coa7,Q9W5N0,3355158,target gene,No,31
Akap200,Q9VLL3,34170,target gene,No,42
EG:80H7.10,Q9XZT2,-,target gene,No,18
Bap170,A1Z6M0,35560,target gene,No,29
Dmel\CG15083,Q7JYX3,37175,target gene,No,26
-,Q8SWV3,-,target gene,No,27
Dmel\CG9117,Q9VMI8,33846,target gene,No,13
-,Q1EC09,-,target gene,No,31
Dmel\CG31637,Q9VMC3,33914,target gene,No,55
Dmel\CG31729,Q9VK04,34736,target gene,No,38
CG7871,Q8IQZ4,32767,target gene,No,30
Hsp70Bc,Q9BIR7,48582;48583,target gene,No,4
BHD,Q9VS33,38793,target gene,No,18
mub,M9NEH9,40436,target gene,No,48
CG32955,Q1ECB9,-,target gene,No,59
Dmel\CG34299,A8JRH0,5740430,target gene,No,34
-,A9YH44,-,target gene,No,12
bsf,Q9VJ86,35100,target gene,No,33
CG4826,Q9VJG5,326156,target gene,No,37
CG31303,Q8INE9,8674000,target gene,No,40
-,Q4V4Z9,-,target gene,No,63
Rpt4,Q9W414,31567,target gene,No,40
-,A9YGX0,-,target gene,No,27
CT26802,Q9VH55,41214,target gene,No,1
Doc3,Q9VST0,39036,target gene,No,26
Liprin-beta,Q9VU88,39524,target gene,No,33
Zw,P12646,32974,target gene,No,32
ND-SGDH,Q9VTU2,46260,target gene,No,31
Dmel\CG13151,A1Z917,36374,target gene,No,22
Dmel\CG13868,A1ZBT2,-,target gene,No,21
CG6547-RA,B3DNM7,-,target gene,No,19
me31B,P23128,34364,target gene,No,26
Pcd,O76454,43499,target gene,No,16
HSP20,Q9VYT5,32141,target gene,No,31
mrn,Q9VUR1,39688,target gene,No,23
dor,Q24314,31118,target gene,No,25
-,Q9VGR7,41346,target gene,No,59
Dmel\CG6299,Q9VXV1,32475,target gene,No,45
Dmel\CG8675,Q9VX62,32716,target gene,No,41
Lgr4,X2JJX6,5740505,target gene,No,4
Dmel\CG8027,A1Z7S7,35943,target gene,No,37
CG14767-RB,F2FB78,-,target gene,No,31
Prosbeta3,Q9XYN7,41079,target gene,No,22
Glo1,A1Z6X6,35656,target gene,No,28
Dyrk3,P83102,3885567,target gene,No,86
-,Q6AWR8,-,target gene,No,44
-,Q0IGX7,-,target gene,No,42
anon-84Ea,O76206,40936,target gene,No,14
i207,Q9W550,31146,target gene,No,24
-,Q8SYR9,-,target gene,No,34
CG6554,C0MJ37,-,target gene,No,22
BORCS7,A1ZBV5,3772419,target gene,No,47
l(1)10Bb,O97454,32069,target gene,No,28
Dmel\CG14431,Q9W3U2,31639,target gene,No,8
Dmel\CG8270,Q9VRX1,38734,target gene,No,39
FER,P18106,41118,target gene,No,47
ari-1,Q94981,32796,target gene,No,39
Orc1,O16810,35686,target gene,No,34
-,Q9VFD5,41816,target gene,No,85
Sting,A0A0B4LFY9,36016,target gene,No,38
Dmel\CG33500,Q7KUG9,2768957,target gene,No,2
-,D5AEL6,-,target gene,No,34
Cbl,Q9VSK2,38961,target gene,No,31
-,Q1RKS3,-,target gene,No,24
pcx,P18490,31204,target gene,No,26
-,Q4QQ92,-,target gene,No,9
Dmel\CG18635,A1ZAZ7,37031,target gene,No,2
Dmel\CG17328,M9PD13,34962,target gene,No,27
ATPsynGL,Q9VLY0,34054,target gene,No,1
Dmel\CG4374,Q9VCM2,42767,target gene,No,15
omd,Q9VFS6,41674,target gene,No,50
Hsc70Cb,M9MSL3,39557,target gene,No,38
Dmel\CG17829,Q9W5E6,47718,target gene,No,14
ASPP,Q86BG1,37422,target gene,No,51
NC2alpha-RA,H0RNJ0,-,target gene,No,26
CG17494-RB,B5RJH6,-,target gene,No,41
scaf,Q7K5M0,35505,target gene,No,24
Kebab,F0JAI6,48440,target gene,No,24
CG33097,Q9VI14,40785,target gene,No,48
koko-RF,C6TP30,-,target gene,No,52
stumps,Q9VFI0,41770,target gene,No,18
grp,O61661,34993,target gene,No,52
CG1814-RB,Q7K3S2,35984,target gene,No,46
Faf2,Q9VJ58,35129,target gene,No,26
-,B4YW74,-,target gene,No,34
mRpL43,Q9W1L1,37750,target gene,No,20
Alp12,Q9VIW9,35218,target gene,No,60
sick,Q9VIQ9,35277,target gene,No,67
akirin,Q9VS59,38821,target gene,No,34
Rbp6,Q9VVE5,39919,target gene,No,24
obe,Q9VF56,41891,target gene,No,28
vlc,Q7K1T1,46078,target gene,No,41
Dmel\CG17364,Q86BI1,39543,target gene,No,24
sws,Q9U969,31716,target gene,No,19
apolpp,Q9V496,43827,target gene,No,74
scu,O18404,32789,target gene,No,23
CG13825,Q9VCP4,42747,target gene,No,11
AdSS,Q9Y0Y2,42466,target gene,No,44
Dmel\CG6695,Q9VC54,42937,target gene,No,36
Frl,Q9VUC6,39561,target gene,No,54
CCT7,Q9VHL2,41054,target gene,No,22
Eno,P15007,33351,target gene,No,45
l(3)72Dp,Q8IQM9,317887,target gene,No,9
CAH8,Q4V4S9,42625,target gene,No,6
nSMase,Q9VZS6,38396,target gene,No,17
Dmel\CG17883,Q9W5H8,3355139,target gene,No,35
Esp,Q9VC29,42962,target gene,No,8
Arf102F,P40945,43823,target gene,No,57
Dmel\CG33199,A1Z7L4,326329,target gene,No,38
-,Q8MT96,-,target gene,No,29
-,Q960C1,-,target gene,No,38
HemK2,Q9VQF8,3771966,target gene,No,35
CG2926-RA,D3DMF3,-,target gene,No,24
rdog,Q961D3,43450,target gene,No,22
NP15.6,Q9V3L7,42282,target gene,No,20
Irk3,B7YZX2,35131,target gene,No,26
CG11776,A2RVD3,-,target gene,No,32
Dmel\CG14406,Q9VY03,32421,target gene,No,13
-,Q7K0Y2,-,target gene,No,48
Sil1,Q9VBV5,43034,target gene,No,19
Dmel\CG13996,Q9VMJ2,33842,target gene,No,15
Dmel\CG12025,Q9W073,38246,target gene,No,30
-,Q8MZH7,-,target gene,No,46
-,Q6IDG5,-,target gene,No,48
Snoo-RD,G4LU73,-,target gene,No,49
mRpL30,Q9W4I3,31398,target gene,No,22
Fili-RC,E4NKH9,-,target gene,No,31
-,A9YIJ8,-,target gene,No,67
CG1620-RA,D2NUG7,-,target gene,No,25
CG1622-RA,E8NH69,-,target gene,No,31
Qsox1,Q7JQR3,36464,target gene,No,15
CG17761,Q4V485,-,target gene,No,13
Or71a,Q9VUK5,39641,target gene,No,15
Lar,P16621,35259,target gene,No,39
CG12370,A1A6U3,-,target gene,No,23
-,B4YWY4,-,target gene,No,26
3,A8JQY2,41447,target gene,No,31
Sec22,M9PGI6,31030,target gene,No,19
CG4053-RB,D9PTV1,-,target gene,No,5
Dmel\CG6006,A2RVG5,41962,target gene,No,40
Q9VA71,Q9VA71,43617,target gene,No,29
BcDNA:RH09070,Q9W4U2,31289,target gene,No,21
-,Q8MZ24,-,target gene,No,25
-,Q8MZL1,-,target gene,No,5
FBpp0074269,Q9VX04,32773,target gene,No,56
abs,Q9V3C0,40530,target gene,No,36
CG16779-RA,C8VV24,-,target gene,No,16
ERp60,Q3YMU0,36270,target gene,No,36
RNF-11,Q8SX35,318246,target gene,No,81
Sec8,Q9VNH6,40712,target gene,No,29
Treh,Q9W2M2,45368,target gene,No,56
PhKgamma-RA,D6W4T7,-,target gene,No,55
Vps16A,Q9VHG1,41107,target gene,No,36
Dmel\CG14480,Q7JWU9,36988,target gene,No,20
CG17090-RA,B3DN76,-,target gene,No,47
CG10057,Q9VBX4,326146,target gene,No,39
GAPsec,Q9VSM8,38987,target gene,No,15
THG,Q9V3N8,34876,target gene,No,18
-,A9YIT6,-,target gene,No,34
Dmel\CG13896,Q9W0N2,38089,target gene,No,61
Dmel\CG13541,Q9W1S6,37689,target gene,No,3
Dmel\CG17490,Q95RQ7,3355125,target gene,No,45
Iyd,E1JIB2,39242,target gene,No,25
-,Q8MSK7,-,target gene,No,7
-,A1A6P5,-,target gene,No,33
Oscillin,Q9VMP9,33783,target gene,No,19
sbb,Q9N693,44027,target gene,No,53
-,Q8MZ19,-,target gene,No,24
Pym,P82804,37780,target gene,No,43
-,Q8IH99,-,target gene,No,28
CAH3,Q9W3C8,31804,target gene,No,34
Dmel\CG7139,Q9XZ11,40448,target gene,No,27
-,H1UUE7,-,target gene,No,2
Dmel\CG6425,Q9VBC6,43216,target gene,No,27
-,B8A3Z1,-,target gene,No,11
-,Q9W1K0,37761,target gene,No,22
cg11777,Q8MKJ6,36108,target gene,No,29
SCCRO3,Q8T8S1,36426,target gene,No,42
alphaTub67C,P06606,39130,target gene,No,7
Dmel\CG5708,Q9VL21,34361,target gene,No,24
CG40451-RA,E8NH43,-,target gene,No,43
tyn,Q8MS37,3354987,target gene,No,24
Dmel\CG31751,Q9VJ68,35118,target gene,No,30
Snx1,Q9VQQ6,33560,target gene,No,19
UGP-RE,E8NH18,-,target gene,No,24
TSG101,Q9VVA7,39881,target gene,No,10
DCTN3-p24,Q9W1V8,46074,target gene,No,29
pre-mod(mdg4)-AE,A0A0B4JDE2,10178960,target gene,No,37
Dmel\CG14561,Q9VNW2,40447,target gene,No,38
CG31222-RA,E0R7Q1,14462486,target gene,No,8
Dmel\CG31174,A0A0B4KGM8,318616,target gene,No,10
CG9783,A8JQT1,5740349,target gene,No,7
-,Q8IGZ4,-,target gene,No,38
Dmel\CG15706,Q8MRB2,36799,target gene,No,21
Caper,Q9VM49,33989,target gene,No,39
stai,Q9VMH3,33863,target gene,No,27
Rac1,P40792,38146,target gene,No,19
Nop60B,O44081,37873,target gene,No,33
CG17735,Q6NNZ7,-,target gene,No,50
BcDNA:GH05710,Q7JXG9,36243,target gene,No,36
-,B4YW76,-,target gene,No,31
EG:30B8.3,O46073,-,target gene,No,3
mRpL35,Q8MS27,42588,target gene,No,30
Dmel\CG13643,A0A0B4KHG9,50074,target gene,No,3
SdhC,Q9VGS3,41340,target gene,No,35
Rtc1,P56175,32338,target gene,No,20
-,Q8MR43,-,target gene,No,31
Ae2,Q9VT48,39147,target gene,No,31
magu,Q0E9E0,36048,target gene,No,36
-,Q95R39,-,target gene,No,48
Dmel\CG4768,Q9VXB1,32666,target gene,No,20
CG8165,Q8T035,-,target gene,No,48
HBS1,Q9W074,117365,target gene,No,30
dock,Q9VPU1,33262,target gene,No,43
-,A9YHM4,-,target gene,No,41
CG10977,M9PBR6,38668,target gene,No,30
Dmel\CG11147,Q9VMM9,33803,target gene,No,6
lincRNA.473,M9ND64,38981,target gene,No,22
CG7546,Q1WWG9,-,target gene,No,41
Pus7,Q9VSK9,38969,target gene,No,18
dom,Q9NDJ2,45655,target gene,No,33
24639695,Q9W4J7,31385,target gene,No,18
c-SPH64,Q8SXE1,35182,target gene,No,2
Dmel\CG13707,M9NE27,38583,target gene,No,35
CG11638-RA,E4NKK8,318223,target gene,No,31
Dmel\CG12581,Q9VMY3,40522,target gene,No,15
CG6663-RA,B9EQZ7,-,target gene,No,23
Chsy,Q7KUZ9,32497,target gene,No,34
Hrs,Q960X8,33458,target gene,No,41
CG11008,Q9VU16,39457,target gene,No,20
-,Q9VWK6,32909,target gene,No,13
CG6340-RB,D3DMZ0,-,target gene,No,27
MED23,Q9W1X7,37639,target gene,No,23
Dmel\CG3376,Q9W188,37884,target gene,No,17
unc-104,A1ZAJ2,36876,target gene,No,22
-,Q9V492,43831,target gene,No,26
anon-69Ag,Q9VTX1,39413,target gene,No,17
CG15216,A8DZ24,35442,target gene,No,22
Rpt4-RA,C1C3F8,-,target gene,No,40
-,Q6NLN4,-,target gene,No,26
CG1518-RA,B3DN57,-,target gene,No,37
pyx,Q9W0T5,38037,target gene,No,20
Tsp97E-RD,G2J606,-,target gene,No,16
Dmel\CG3698,Q9VPB4,40298,target gene,No,63
CG10727,Q9VRR3,38667,target gene,No,23
Rok,Q9VXE3,43916,target gene,No,54
Dmel\CG11407,Q9VDU1,42354,target gene,No,1
CDC40,Q9VD52,42593,target gene,No,18
Rdl,P25123,39054,target gene,No,6
Dip2-RA,B5RJ17,-,target gene,No,21
l(2)k10201,Q9V574,48373,target gene,No,35
-,B4YWL8,-,target gene,No,60
CG10517,Q961L8,326246,target gene,No,25
-,Q95TZ2,-,target gene,No,25
Dmel\CG33626,A1Z8Z5,3772257,target gene,No,18
Mon1,Q9VR38,33689,target gene,No,13
-,C5I7D7,-,target gene,No,43
Dmel\CG3308,Q9VDC1,42527,target gene,No,29
Dmel\CG3918,Q9W3Z5,31585,target gene,No,59
cib,Q8IRS7,31359,target gene,No,72
-,A9YIR9,-,target gene,No,13
smog,M9ND25,33690,target gene,No,8
sens-2,Q9VM77,33957,target gene,No,25
RpL30,Q9VJ19,44059,target gene,No,70
CG3980-RB,Q45EX7,-,target gene,No,25
-,Q8SXE6,-,target gene,No,38
Dmel\CG7718,Q8SYL0,42254,target gene,No,18
-,Q8MZ12,-,target gene,No,19
-,Q8MQY8,-,target gene,No,17
PQBP-1-RA,B5X504,-,target gene,No,32
Haspin,P83103,3355064,target gene,No,37
MED21,Q9W5P1,3354977,target gene,No,43
Mkk4,O61444,41020,target gene,No,54
CHKov1-RE,A0A0K1RFS1,-,target gene,No,23
Dmel\CG10098,Q9VI64,40851,target gene,No,46
Dmel\CG8993,Q9W022,38301,target gene,No,16
Dlg5,Q9VKG8,34573,target gene,No,53
Sfp26Ad,Q6IHT7,8673981,target gene,No,52
GPHR,Q3ZAN1,36682,target gene,No,9
ds,Q24292,33245,target gene,No,17
Afti,Q9VFK5,41744,target gene,No,32
Doa,P49762,43415,target gene,No,52
Sucb-RA,F3YDH6,-,target gene,No,33
-,Q8T073,-,target gene,No,34
-,Q8MRD8,-,target gene,No,10
-,Q9W1J2,-,target gene,No,33
Dmel\CG11399,Q9VPB7,40295,target gene,No,37
Pex14,Q9VPB8,40294,target gene,No,23
-,Q7YU44,-,target gene,No,18
-,Q9V412,34788,target gene,No,17
Dmel\CG14130,Q9VTP1,39335,target gene,No,31
Dmel\CG10026,Q8T9G7,35226,target gene,No,58
wrapper,Q9W260,37555,target gene,No,4
Dmel\CG31789,Q8INX6,318943,target gene,No,32
wor,Q9VJP2,34906,target gene,No,16
-,Q8IHG8,-,target gene,No,38
fsd,A1Z9A5,36463,target gene,No,30
CG42550-RA,F2FB51,-,target gene,No,30
cnn,P54623,36491,target gene,No,57
trio,Q7KVD1,43974,target gene,No,41
CG9413-RB,C9QPC3,-,target gene,No,20
-,B4YXD3,-,target gene,No,49
Thor,Q9XZ56,33569,target gene,No,45
Dmel\CG10050,Q9VI85,40873,target gene,No,19
CG32686-RB,C6TPB1,-,target gene,No,3
CBP,M9PHB8,31669,target gene,No,23
CG4004-RA,E1NZC1,-,target gene,No,16
-,Q6IIW9,-,target gene,No,73
CG12117,B4F5L3,-,target gene,No,17
Secp43,Q8SXG7,33652,target gene,No,48
-,A9YGP0,-,target gene,No,26
nop5,Q9VM69,33966,target gene,No,35
px-RC,A8DYM3,-,target gene,No,88
mtsh,Q9VLP4,34141,target gene,No,27
Sf3b3,Q9W0M7,38093,target gene,No,33
Slh,Q24179,33434,target gene,No,44
RpL28,Q9VZS5,38397,target gene,No,64
CG3033-RA,H5V8B2,-,target gene,No,16
Dmel\CG46311,A0A1Z1CGY8,30522400,target gene,No,66
ref(2)P,P14199,35246,target gene,No,28
Rnp4F,Q9W4D2,31448,target gene,No,40
RpL32,P04359,43573,target gene,No,64
Dmel\CG7133,Q9VNW1,40449,target gene,No,22
Rad17,O96532,41779,target gene,No,10
Aac11,Q9V431,35053,target gene,No,29
Dmel\CG8336,Q9VT21,39121,target gene,No,23
rdgBbeta,Q9U9P7,37011,target gene,No,53
ND-23,Q9VF27,44207,target gene,No,21
Las,Q7JQW6,40259,target gene,No,20
CG8112-RA,D3DMP4,41033,target gene,No,19
MP1,A0A126GUP6,40541,target gene,No,32
Pvr-RF,C1C3C7,-,target gene,No,45
Dhx15,Q7K3M5,35654,target gene,No,36
-,Q8T482,-,target gene,No,4
Dmel\CG3823,Q9W408,31573,target gene,No,15
CG30051-RC,C1C540,-,target gene,No,42
CG8026-RB,C9QPE2,35941,target gene,No,43
Dmel\CG10516,Q9VUW0,39738,target gene,No,30
CCKLR-17D1,A8JUP8,32860,target gene,No,4
CCT1,P12613,42649,target gene,No,18
-,F6J562,-,target gene,No,18
Rala,P48555,31332,target gene,No,74
-,Q8MZF5,-,target gene,No,11
ND-75,Q94511,31762,target gene,No,33
Prosalpha2,P40301,41531,target gene,No,15
caz,Q27294,32587,target gene,No,26
koi,A0A0B4KEE4,35594,target gene,No,36
Muted,Q0KI28,4379860,target gene,No,34
Rcd2,Q8SXY5,40283,target gene,No,34
wb-RB,D1Z390,-,target gene,No,31
Sf3a1,Q9VEP9,42048,target gene,No,45
gce,Q9VXW7,32457,target gene,No,42
Dmel\CG8613,Q5BIA9,36593,target gene,No,38
Dmel\CG3038,Q8IRZ0,30970,target gene,No,53
e(y)3,Q9VWF2,32965,target gene,No,47
-,Q8IGF4,-,target gene,No,49
BcDNA:RE28658,Q9VRK1,50315,target gene,No,3
Dmel\CG17048,Q4QPY0,36479,target gene,No,2
P5cr-2,Q9VEJ3,42106,target gene,No,51
BcDNA:RE36920,Q9VK90,34655,target gene,No,17
-,Q8SXE8,-,target gene,No,13
Dmel\CG14650,Q9VN28,40566,target gene,No,23
CG18512,Q9W2Z7,31933,target gene,No,7
BcDNA:AT22273,Q7JYP8,36803,target gene,No,3
LysS,P37160,38130,target gene,No,13
Dmel\CG15404,Q9VQN1,33537,target gene,No,29
-,Q8SYR0,-,target gene,No,20
-,Q8SY21,-,target gene,No,18
mahj,Q9W2F2,37462,target gene,No,30
CG6599,A0A0B4K794,43298,target gene,No,12
CG8097,F6J2U5,-,target gene,No,28
MAP1B,Q9VKV9,34428,target gene,No,4
CG15247,B4F5V9,-,target gene,No,11
-,E5KYX7,-,target gene,No,44
-,Q6NMV6,-,target gene,No,4
CG3358-RC,C9QP59,-,target gene,No,53
anon-EST:Posey178,Q9VHQ8,50003,target gene,No,32
CG8892-RC,C8VV52,-,target gene,No,72
CG32852,A4IJ55,-,target gene,No,36
CG6687,A4VA01,-,target gene,No,45
RtcB,Q9VIW7,35220,target gene,No,41
sicily,Q9VYS5,32151,target gene,No,38
Mccc1,Q9V9T5,43750,target gene,No,36
CG32441,A8E6M8,-,target gene,No,16
wls,Q95ST2,39259,target gene,No,26
Dmel\CG3104,Q9VQI1,33486,target gene,No,60
-,Q961G7,-,target gene,No,36
-,A9YIL8,-,target gene,No,32
CG1814-RC,C6SV33,-,target gene,No,46
NEST:bs15f01,Q8I0Q7,38487,target gene,No,42
mRpL37,Q9VGW9,41293,target gene,No,19
nudC,Q9VVA6,39879,target gene,No,50
-,A2VEG7,-,target gene,No,30
metl,Q86BS6,38197,target gene,No,17
chic,P25843,33834,target gene,No,61
anon-29Da,Q9U5W2,34191,target gene,No,66
Vsp37A,O77259,31006,target gene,No,29
CG31296,Q1RKU3,-,target gene,No,1
-,B4YX71,-,target gene,No,22
CG3056-RB,F3YD57,-,target gene,No,23
Tim17b1,Q9VNA0,40635,target gene,No,48
Dmel\CG17754,Q7K0L2,31873,target gene,No,31
gas,Q9W243,37572,target gene,No,10
PhKgamma,Q9I7D0,32120,target gene,No,55
-,Q8MSG1,-,target gene,No,10
CG4678-RD,G4LU56,-,target gene,No,45
-,Q95TH0,-,target gene,No,68
noc,Q24423,34847,target gene,No,52
CG11779-RB,C9QP57,-,target gene,No,42
E3,Q9VVL7,39988,target gene,No,53
SerRS-m,Q9VF85,41862,target gene,No,5
-,A9YHI4,-,target gene,No,47
CG1513-RA,D3DMG7,-,target gene,No,31
dally,Q24114,39013,target gene,No,36
GstS1,P41043,36927,target gene,No,31
-,Q6W4F2,-,target gene,No,44
boss,P22815,43146,target gene,No,2
-,F6J567,-,target gene,No,18
-,B4YXD4,-,target gene,No,49
Dmel\CG11436,Q9W4J6,31386,target gene,No,19
mth,O97148,38058,target gene,No,28
LD30049,Q9W047,48613,target gene,No,14
-,Q8I0A0,-,target gene,No,17
-,Q9VTZ6,39436,target gene,No,24
-,Q1RKX5,-,target gene,No,27
Dmel\CG34149,Q0KI27,4379861,target gene,No,5
galla-1,Q9V968,246485,target gene,No,36
pasha,Q9V9V7,43728,target gene,No,14
Dmel\CG7322,Q9VWP2,32880,target gene,No,28
CG8014,Q6NP12,-,target gene,No,60
Tim23,Q8MRW1,3355096,target gene,No,37
CG6854,X2J927,19834908,target gene,No,25
Spn42Dd,Q7YTY6,49808,target gene,No,4
NHP2,Q9V3U2,44005,target gene,No,38
lbk,A1ZAB1,36788,target gene,No,33
ial,Q9VKN7,34504,target gene,No,20
gammaCOP,Q8I0G5,43717,target gene,No,17
HemK1,Q9VMD3,33902,target gene,No,24
-,A9YJN6,-,target gene,No,69
-,Q8ST39,-,target gene,No,17
Cals,Q9V498,43824,target gene,No,58
Dmel\CG12849,Q9W101,37971,target gene,No,46
esn,Q9U1I1,53557,target gene,No,31
CG14973,M9PBL9,38430,target gene,No,25
-,A9YH46,-,target gene,No,12
Dmel\CG4041,Q9W4F8,31422,target gene,No,22
mt:ND1,P18929,19893558,target gene,No,19
CG10151-RD,D5A7N3,-,target gene,No,23
Vha14-1,Q24583,36731,target gene,No,24
Trpm,A8DYE2,36694,target gene,No,38
Sirup,Q9VLU6,34089,target gene,No,57
spir,Q9U1K1,45931,target gene,No,37
-,Q95RJ1,-,target gene,No,38
CG31926-RA,D3DMV2,-,target gene,No,1
45550393,A1Z7V8,35984,target gene,No,46
CG15120-RA,C0HDN9,-,target gene,No,44
CG4196,E1JIL1,8674000,target gene,No,40
Nuak1,A0A0B4KFP5,41256,target gene,No,53
EG:22E5.7,Q9W531,31171,target gene,No,25
Tace,Q9VAC5,43558,target gene,No,6
Grip75,Q9VKU7,34441,target gene,No,18
-,Q8SY26,-,target gene,No,26
heph,A0A0B4K6W9,48571,target gene,No,55
Lsd-2,Q9VXY7,32437,target gene,No,30
-,Q9VHB3,41155,target gene,No,7
Gip,P36951,31960,target gene,No,30
